description,amount,category
Car Loan EMI,4114.71,liability
FD Deposit,5248.01,asset
Freelance Payment,8737.75,income
Swiggy Order,9571.96,expense
Stock Purchase,3174.86,asset
Amazon Purchase,4047.42,expense
Credit Card Bill,6606.28,liability
Amazon Purchase,6260.66,expense
Amazon Purchase,4621.27,expense
Stock Purchase,1798.96,asset
Car Loan EMI,3298.75,liability
Interest Credit,6838.77,income
Car Loan EMI,1828.0,liability
Electricity Bill,3545.97,expense
Home Loan Interest,2555.17,liability
Stock Purchase,2447.42,asset
Mutual Fund Investment,437.18,asset
Bonus Received,1283.32,income
Uber Ride,4734.87,expense
Bonus Received,5439.64,income
Electricity Bill,1302.75,expense
FD Deposit,9959.3,asset
Car Loan EMI,446.0,liability
Car Loan EMI,2750.09,liability
Interest Credit,1944.23,income
Car Loan EMI,1708.19,liability
Stock Purchase,9265.02,asset
Freelance Payment,6341.91,income
Gold Investment,5673.51,asset
Amazon Purchase,5082.35,expense
Electricity Bill,5838.57,expense
FD Deposit,236.25,asset
FD Deposit,5544.25,asset
Salary Credit,4756.66,income
Stock Purchase,5776.43,asset
Bonus Received,6407.98,income
Stock Purchase,5108.49,asset
Gold Investment,4613.55,asset
Home Loan Interest,6047.37,liability
Stock Purchase,8234.71,asset
FD Deposit,460.63,asset
Amazon Purchase,448.22,expense
Loan EMI,5608.66,liability
Credit Card Bill,8541.6,liability
Freelance Payment,5654.91,income
Bonus Received,567.26,income
Mutual Fund Investment,8817.11,asset
Uber Ride,4525.82,expense
Car Loan EMI,6508.55,liability
Amazon Purchase,7266.13,expense
Stock Purchase,4468.34,asset
Mutual Fund Investment,452.91,asset
Mutual Fund Investment,9541.2,asset
Loan EMI,1120.65,liability
Swiggy Order,8948.77,expense
Home Loan Interest,3288.44,liability
Salary Credit,6509.67,income
Salary Credit,1337.54,income
Gold Investment,4760.52,asset
Car Loan EMI,5231.59,liability
Freelance Payment,5650.58,income
Mutual Fund Investment,6677.95,asset
Mutual Fund Investment,9823.86,asset
FD Deposit,5508.64,asset
Uber Ride,1183.63,expense
Loan EMI,197.67,liability
Mutual Fund Investment,4475.13,asset
Credit Card Bill,8552.35,liability
Uber Ride,1644.82,expense
Uber Ride,8219.81,expense
Credit Card Bill,5054.14,liability
Electricity Bill,3352.57,expense
Home Loan Interest,7206.32,liability
Salary Credit,9872.01,income
Gold Investment,3326.82,asset
Bonus Received,3166.51,income
Freelance Payment,1711.31,income
Mutual Fund Investment,2974.98,asset
Mutual Fund Investment,7942.5,asset
FD Deposit,8088.45,asset
Electricity Bill,1120.69,expense
Amazon Purchase,2709.49,expense
Uber Ride,6261.64,expense
Home Loan Interest,344.55,liability
Stock Purchase,156.77,asset
Amazon Purchase,3359.26,expense
Gold Investment,2385.89,asset
Bonus Received,239.74,income
Freelance Payment,6740.23,income
Freelance Payment,2008.9,income
FD Deposit,6049.54,asset
FD Deposit,212.06,asset
Loan EMI,5796.44,liability
Credit Card Bill,3703.35,liability
FD Deposit,8905.15,asset
Credit Card Bill,3183.81,liability
Gold Investment,9499.21,asset
Mutual Fund Investment,9762.53,asset
Gold Investment,6311.83,asset
Stock Purchase,1505.17,asset
Freelance Payment,2746.53,income
Electricity Bill,6182.82,expense
Mutual Fund Investment,8810.9,asset
Amazon Purchase,6692.25,expense
Amazon Purchase,4982.33,expense
Gold Investment,457.6,asset
Gold Investment,7488.1,asset
Mutual Fund Investment,9381.04,asset
Loan EMI,226.64,liability
Uber Ride,6162.88,expense
Uber Ride,3075.22,expense
Car Loan EMI,7997.25,liability
Swiggy Order,493.55,expense
FD Deposit,6505.37,asset
Home Loan Interest,9700.2,liability
Car Loan EMI,7253.34,liability
FD Deposit,3744.11,asset
Gold Investment,1517.27,asset
Interest Credit,7970.97,income
Bonus Received,5611.22,income
Bonus Received,6195.62,income
Bonus Received,6236.7,income
Loan EMI,5957.73,liability
Credit Card Bill,3207.0,liability
Electricity Bill,5046.56,expense
Interest Credit,8640.2,income
Freelance Payment,2756.11,income
Car Loan EMI,1542.82,liability
FD Deposit,1534.23,asset
Mutual Fund Investment,4454.79,asset
Credit Card Bill,3880.08,liability
FD Deposit,350.59,asset
Amazon Purchase,7129.71,expense
Gold Investment,4668.79,asset
Freelance Payment,6922.69,income
Credit Card Bill,9140.48,liability
FD Deposit,777.19,asset
Salary Credit,9004.28,income
Home Loan Interest,8121.97,liability
Uber Ride,4708.91,expense
Gold Investment,3646.95,asset
Swiggy Order,420.09,expense
Uber Ride,9397.07,expense
Interest Credit,975.99,income
Gold Investment,5743.55,asset
Credit Card Bill,139.83,liability
Freelance Payment,7325.15,income
Bonus Received,9922.62,income
Interest Credit,5424.57,income
Bonus Received,423.2,income
Bonus Received,2837.32,income
Stock Purchase,1372.24,asset
Mutual Fund Investment,2449.84,asset
Credit Card Bill,1530.67,liability
Freelance Payment,8986.24,income
Credit Card Bill,9848.94,liability
Bonus Received,360.75,income
Freelance Payment,2192.95,income
Mutual Fund Investment,9902.91,asset
Credit Card Bill,4673.72,liability
Bonus Received,6191.75,income
Bonus Received,9656.07,income
Home Loan Interest,7000.72,liability
Freelance Payment,9403.46,income
Car Loan EMI,4347.29,liability
Mutual Fund Investment,7139.02,asset
FD Deposit,7000.35,asset
Electricity Bill,5870.69,expense
Car Loan EMI,9104.19,liability
Car Loan EMI,3467.81,liability
Uber Ride,2946.7,expense
Salary Credit,5467.49,income
Bonus Received,9908.07,income
FD Deposit,8852.9,asset
Car Loan EMI,6013.62,liability
Amazon Purchase,2589.85,expense
Interest Credit,1279.66,income
Interest Credit,5789.33,income
Freelance Payment,4892.88,income
Credit Card Bill,1760.74,liability
Freelance Payment,9579.96,income
Freelance Payment,7151.71,income
Gold Investment,292.7,asset
Interest Credit,4155.71,income
Bonus Received,3624.67,income
Salary Credit,1109.73,income
Mutual Fund Investment,8800.36,asset
Mutual Fund Investment,1530.57,asset
Salary Credit,6159.49,income
Amazon Purchase,6535.25,expense
FD Deposit,6888.45,asset
Uber Ride,3569.19,expense
Bonus Received,4341.69,income
FD Deposit,5862.6,asset
Interest Credit,8729.27,income
Mutual Fund Investment,9954.47,asset
FD Deposit,5952.62,asset
Gold Investment,9391.69,asset
Freelance Payment,7950.9,income
Amazon Purchase,9192.47,expense
Loan EMI,1431.64,liability
Loan EMI,5111.27,liability
Gold Investment,2654.35,asset
Bonus Received,6129.93,income
Interest Credit,690.47,income
Salary Credit,9986.05,income
Freelance Payment,3112.86,income
FD Deposit,8955.01,asset
Uber Ride,2630.62,expense
FD Deposit,101.63,asset
Gold Investment,2974.22,asset
Amazon Purchase,1452.31,expense
Freelance Payment,1082.06,income
Electricity Bill,9018.66,expense
Mutual Fund Investment,4702.35,asset
Credit Card Bill,4024.57,liability
Salary Credit,348.97,income
Swiggy Order,6214.16,expense
Swiggy Order,6218.77,expense
Swiggy Order,5097.01,expense
Gold Investment,4070.64,asset
Home Loan Interest,6654.23,liability
Swiggy Order,8393.11,expense
Uber Ride,4262.29,expense
Home Loan Interest,4555.34,liability
FD Deposit,1025.66,asset
Car Loan EMI,6027.03,liability
Car Loan EMI,4842.46,liability
FD Deposit,566.09,asset
Interest Credit,6833.28,income
Loan EMI,8484.23,liability
Amazon Purchase,819.22,expense
Loan EMI,4582.43,liability
Loan EMI,5014.06,liability
Uber Ride,192.26,expense
Swiggy Order,9667.82,expense
FD Deposit,222.16,asset
Swiggy Order,6540.84,expense
Stock Purchase,4554.02,asset
Loan EMI,984.63,liability
FD Deposit,8754.95,asset
Loan EMI,5608.18,liability
Car Loan EMI,7542.93,liability
Gold Investment,3368.62,asset
Freelance Payment,7419.54,income
Amazon Purchase,9799.7,expense
Interest Credit,3037.91,income
Gold Investment,9399.64,asset
Car Loan EMI,6404.71,liability
Home Loan Interest,1297.73,liability
Swiggy Order,4255.94,expense
Car Loan EMI,4666.9,liability
Swiggy Order,5877.22,expense
Home Loan Interest,6659.06,liability
Freelance Payment,8304.02,income
Stock Purchase,9291.3,asset
Home Loan Interest,2183.31,liability
Credit Card Bill,9183.0,liability
Home Loan Interest,7239.03,liability
Swiggy Order,9845.86,expense
Swiggy Order,9926.79,expense
Interest Credit,8077.39,income
FD Deposit,9047.28,asset
Home Loan Interest,919.29,liability
Home Loan Interest,7293.44,liability
Car Loan EMI,8871.43,liability
Freelance Payment,3773.86,income
Home Loan Interest,1516.09,liability
Swiggy Order,1484.15,expense
FD Deposit,4919.29,asset
Gold Investment,920.35,asset
Swiggy Order,4321.59,expense
Interest Credit,3385.55,income
Loan EMI,7029.95,liability
FD Deposit,3871.32,asset
Bonus Received,4537.43,income
Swiggy Order,2738.43,expense
Swiggy Order,4556.5,expense
Amazon Purchase,9883.48,expense
Swiggy Order,3317.83,expense
Amazon Purchase,5754.84,expense
Interest Credit,189.7,income
Loan EMI,2682.98,liability
Uber Ride,4849.52,expense
Electricity Bill,1422.71,expense
Stock Purchase,3012.81,asset
Loan EMI,3854.88,liability
Interest Credit,2122.82,income
Freelance Payment,4656.42,income
Car Loan EMI,2220.11,liability
Car Loan EMI,5393.49,liability
Uber Ride,3922.92,expense
Loan EMI,5866.31,liability
Swiggy Order,8372.51,expense
Salary Credit,330.38,income
Swiggy Order,2759.79,expense
Mutual Fund Investment,129.56,asset
Bonus Received,3301.56,income
Car Loan EMI,1582.45,liability
Amazon Purchase,343.79,expense
Stock Purchase,1285.44,asset
FD Deposit,5924.27,asset
Salary Credit,238.35,income
Loan EMI,1254.98,liability
Credit Card Bill,5403.45,liability
Electricity Bill,6403.29,expense
Mutual Fund Investment,4919.84,asset
Electricity Bill,3140.37,expense
Electricity Bill,9180.2,expense
Swiggy Order,9535.31,expense
Credit Card Bill,5771.81,liability
Amazon Purchase,8238.02,expense
Credit Card Bill,838.44,liability
Credit Card Bill,8852.03,liability
Salary Credit,5466.56,income
Interest Credit,9703.4,income
Amazon Purchase,2809.72,expense
Amazon Purchase,7205.38,expense
Amazon Purchase,7625.63,expense
Loan EMI,7874.05,liability
Mutual Fund Investment,8031.14,asset
Electricity Bill,6613.58,expense
Mutual Fund Investment,8532.42,asset
Car Loan EMI,1278.26,liability
Car Loan EMI,4027.49,liability
Home Loan Interest,1598.86,liability
Mutual Fund Investment,126.97,asset
Credit Card Bill,6349.67,liability
Home Loan Interest,6469.74,liability
Freelance Payment,2432.61,income
Uber Ride,203.62,expense
Bonus Received,4747.59,income
Uber Ride,7752.78,expense
Interest Credit,5042.76,income
Gold Investment,505.69,asset
Salary Credit,3558.63,income
Salary Credit,2782.91,income
FD Deposit,9982.48,asset
Freelance Payment,8716.69,income
Bonus Received,5519.08,income
Mutual Fund Investment,3232.56,asset
Amazon Purchase,983.35,expense
Freelance Payment,3109.0,income
FD Deposit,7664.79,asset
Amazon Purchase,5937.43,expense
Freelance Payment,5189.39,income
Amazon Purchase,3656.84,expense
Salary Credit,9109.03,income
Credit Card Bill,5809.46,liability
Gold Investment,2113.31,asset
Uber Ride,3496.81,expense
Bonus Received,6617.78,income
Freelance Payment,9267.03,income
Credit Card Bill,2053.04,liability
Interest Credit,4991.01,income
Freelance Payment,185.67,income
Interest Credit,4443.29,income
Electricity Bill,581.2,expense
Credit Card Bill,3843.76,liability
Swiggy Order,4368.95,expense
Uber Ride,1744.12,expense
Interest Credit,554.79,income
Electricity Bill,3957.0,expense
Mutual Fund Investment,4556.0,asset
Amazon Purchase,3005.51,expense
Mutual Fund Investment,1378.95,asset
Salary Credit,106.48,income
Interest Credit,4561.46,income
FD Deposit,388.88,asset
Mutual Fund Investment,3752.62,asset
Swiggy Order,9831.93,expense
Mutual Fund Investment,5726.29,asset
Loan EMI,6814.09,liability
Salary Credit,9219.9,income
Electricity Bill,1983.73,expense
Electricity Bill,9505.33,expense
Stock Purchase,3592.09,asset
Credit Card Bill,7003.2,liability
Loan EMI,7082.36,liability
Credit Card Bill,859.93,liability
Freelance Payment,8950.44,income
Mutual Fund Investment,5820.14,asset
FD Deposit,9526.54,asset
Stock Purchase,9055.38,asset
Stock Purchase,6188.58,asset
Car Loan EMI,8911.09,liability
Salary Credit,3283.47,income
Swiggy Order,1295.23,expense
Swiggy Order,5392.81,expense
FD Deposit,1050.57,asset
Car Loan EMI,6226.01,liability
Freelance Payment,7551.67,income
Mutual Fund Investment,1496.1,asset
FD Deposit,7695.68,asset
Gold Investment,652.23,asset
FD Deposit,9060.37,asset
Home Loan Interest,1428.49,liability
Salary Credit,9893.37,income
Freelance Payment,705.57,income
Uber Ride,6432.09,expense
Car Loan EMI,366.77,liability
Mutual Fund Investment,9512.82,asset
FD Deposit,4414.33,asset
Amazon Purchase,7941.11,expense
FD Deposit,4427.69,asset
Amazon Purchase,2866.45,expense
Car Loan EMI,7220.18,liability
Salary Credit,137.14,income
Credit Card Bill,536.93,liability
Freelance Payment,8199.49,income
Freelance Payment,6736.88,income
Uber Ride,137.14,expense
Freelance Payment,4196.84,income
FD Deposit,4323.82,asset
FD Deposit,1210.67,asset
Stock Purchase,1860.49,asset
Gold Investment,8730.78,asset
Car Loan EMI,2422.81,liability
Gold Investment,7245.67,asset
Car Loan EMI,2452.94,liability
Home Loan Interest,3100.86,liability
Uber Ride,7840.59,expense
Amazon Purchase,6754.15,expense
Gold Investment,3321.74,asset
Home Loan Interest,9337.33,liability
Electricity Bill,661.77,expense
FD Deposit,8785.19,asset
Electricity Bill,9447.71,expense
Salary Credit,4026.8,income
Car Loan EMI,3876.42,liability
Uber Ride,9427.38,expense
Salary Credit,2090.4,income
Car Loan EMI,2860.24,liability
Car Loan EMI,9212.31,liability
Stock Purchase,6755.99,asset
Credit Card Bill,9172.91,liability
Loan EMI,4182.96,liability
Credit Card Bill,6456.54,liability
Freelance Payment,3345.65,income
Home Loan Interest,9051.61,liability
Gold Investment,7169.18,asset
Bonus Received,1450.92,income
Mutual Fund Investment,8776.82,asset
Car Loan EMI,6727.9,liability
Home Loan Interest,5172.46,liability
FD Deposit,3205.79,asset
Amazon Purchase,8334.08,expense
FD Deposit,555.98,asset
Stock Purchase,4854.86,asset
Home Loan Interest,6925.26,liability
Swiggy Order,2520.29,expense
Uber Ride,6001.24,expense
Amazon Purchase,7359.54,expense
FD Deposit,6078.4,asset
Stock Purchase,8184.91,asset
Credit Card Bill,2172.74,liability
Bonus Received,7364.51,income
FD Deposit,8736.79,asset
Car Loan EMI,5467.87,liability
Car Loan EMI,6093.58,liability
Gold Investment,6593.03,asset
Stock Purchase,5339.23,asset
Loan EMI,2245.41,liability
FD Deposit,9810.63,asset
Stock Purchase,5212.95,asset
Bonus Received,167.59,income
Interest Credit,3905.28,income
Freelance Payment,8833.64,income
Stock Purchase,4807.19,asset
Freelance Payment,442.09,income
Amazon Purchase,272.74,expense
Credit Card Bill,3267.76,liability
Swiggy Order,6538.93,expense
Loan EMI,4560.95,liability
Stock Purchase,9573.46,asset
Home Loan Interest,1722.2,liability
Uber Ride,4953.67,expense
Home Loan Interest,4135.23,liability
Salary Credit,900.08,income
Salary Credit,7461.82,income
Stock Purchase,2459.97,asset
Stock Purchase,6153.92,asset
Uber Ride,1629.82,expense
Freelance Payment,1081.05,income
Loan EMI,8197.88,liability
Gold Investment,5716.99,asset
Credit Card Bill,6505.74,liability
Credit Card Bill,6980.79,liability
Loan EMI,9123.34,liability
Home Loan Interest,3400.71,liability
Stock Purchase,4743.98,asset
Uber Ride,4442.21,expense
Amazon Purchase,6666.21,expense
FD Deposit,9925.31,asset
Salary Credit,2308.28,income
Home Loan Interest,3372.56,liability
Salary Credit,5800.79,income
Amazon Purchase,2933.17,expense
Credit Card Bill,7908.5,liability
Loan EMI,8523.08,liability
Electricity Bill,9357.56,expense
Credit Card Bill,8678.08,liability
Electricity Bill,1796.67,expense
Electricity Bill,9776.99,expense
Amazon Purchase,1678.84,expense
Credit Card Bill,1332.76,liability
Loan EMI,9819.71,liability
FD Deposit,7543.29,asset
Stock Purchase,1057.26,asset
Loan EMI,5090.25,liability
Loan EMI,8548.69,liability
FD Deposit,7946.8,asset
Car Loan EMI,1255.64,liability
Home Loan Interest,2569.61,liability
Stock Purchase,5764.62,asset
Amazon Purchase,4259.71,expense
Electricity Bill,7900.97,expense
Bonus Received,9068.62,income
Car Loan EMI,1788.14,liability
Amazon Purchase,6481.08,expense
Freelance Payment,9459.99,income
Uber Ride,5497.06,expense
Salary Credit,9172.06,income
Credit Card Bill,7156.4,liability
FD Deposit,7159.77,asset
Mutual Fund Investment,5932.44,asset
Amazon Purchase,4610.84,expense
Loan EMI,7433.38,liability
FD Deposit,8705.96,asset
Uber Ride,9085.93,expense
Mutual Fund Investment,1578.2,asset
Swiggy Order,8424.73,expense
Interest Credit,592.54,income
Amazon Purchase,4201.24,expense
Home Loan Interest,3821.84,liability
Mutual Fund Investment,9057.61,asset
Swiggy Order,6397.34,expense
Car Loan EMI,8500.82,liability
Interest Credit,2759.0,income
Salary Credit,4419.09,income
Loan EMI,5386.11,liability
Interest Credit,9892.1,income
Amazon Purchase,573.33,expense
Interest Credit,3563.82,income
Swiggy Order,4419.72,expense
Loan EMI,8665.37,liability
Car Loan EMI,2471.71,liability
Salary Credit,3027.58,income
Electricity Bill,9544.65,expense
Salary Credit,1155.53,income
Bonus Received,6735.58,income
Loan EMI,7608.34,liability
Interest Credit,665.62,income
Gold Investment,6991.57,asset
Electricity Bill,5977.41,expense
Uber Ride,7134.01,expense
Loan EMI,6194.3,liability
Mutual Fund Investment,7058.64,asset
Interest Credit,4998.37,income
Car Loan EMI,7095.63,liability
Swiggy Order,2643.48,expense
Credit Card Bill,5973.54,liability
Electricity Bill,1733.01,expense
Credit Card Bill,122.77,liability
Amazon Purchase,3880.67,expense
Uber Ride,8113.35,expense
Salary Credit,9295.72,income
Interest Credit,4925.4,income
Freelance Payment,502.36,income
Uber Ride,9920.74,expense
Amazon Purchase,3756.9,expense
Mutual Fund Investment,6460.91,asset
Swiggy Order,5130.65,expense
Home Loan Interest,738.97,liability
Credit Card Bill,8092.99,liability
Swiggy Order,1127.03,expense
Electricity Bill,5006.1,expense
Loan EMI,8433.6,liability
Gold Investment,4923.9,asset
Swiggy Order,8523.2,expense
Stock Purchase,3670.16,asset
Electricity Bill,5725.72,expense
Home Loan Interest,6632.66,liability
Home Loan Interest,8129.84,liability
Electricity Bill,443.74,expense
Interest Credit,5138.18,income
Electricity Bill,3271.64,expense
Bonus Received,6350.71,income
Mutual Fund Investment,825.59,asset
Mutual Fund Investment,4481.15,asset
Credit Card Bill,6801.9,liability
FD Deposit,6223.21,asset
Stock Purchase,1264.41,asset
Stock Purchase,6579.5,asset
Interest Credit,1007.14,income
Car Loan EMI,7835.08,liability
Car Loan EMI,5056.38,liability
Car Loan EMI,6228.6,liability
Salary Credit,7080.7,income
Loan EMI,4566.95,liability
Stock Purchase,1156.21,asset
Amazon Purchase,8010.9,expense
Bonus Received,9882.79,income
Salary Credit,9226.87,income
Home Loan Interest,153.44,liability
Salary Credit,6470.15,income
Mutual Fund Investment,580.47,asset
Salary Credit,2152.31,income
Uber Ride,568.86,expense
Salary Credit,5091.1,income
Car Loan EMI,8046.37,liability
Stock Purchase,7286.41,asset
Stock Purchase,388.97,asset
Electricity Bill,8112.92,expense
Car Loan EMI,9179.2,liability
Home Loan Interest,1882.2,liability
Freelance Payment,5657.18,income
Salary Credit,311.11,income
Swiggy Order,9692.65,expense
Freelance Payment,8414.37,income
FD Deposit,470.59,asset
FD Deposit,6052.53,asset
Swiggy Order,2091.9,expense
Home Loan Interest,3451.91,liability
Loan EMI,9229.14,liability
Amazon Purchase,9558.08,expense
Car Loan EMI,1397.87,liability
Home Loan Interest,9677.3,liability
Loan EMI,9612.36,liability
Loan EMI,3626.25,liability
Salary Credit,5954.18,income
Electricity Bill,2817.44,expense
Car Loan EMI,5659.65,liability
Electricity Bill,2619.52,expense
Interest Credit,2206.12,income
Car Loan EMI,9701.81,liability
Bonus Received,753.69,income
Gold Investment,9340.51,asset
Mutual Fund Investment,1592.3,asset
Freelance Payment,7548.31,income
Home Loan Interest,5682.48,liability
Freelance Payment,2638.32,income
Bonus Received,7676.31,income
Freelance Payment,9923.98,income
Swiggy Order,1064.19,expense
Freelance Payment,1185.84,income
Swiggy Order,5458.19,expense
Credit Card Bill,8857.19,liability
Electricity Bill,4987.46,expense
Swiggy Order,371.31,expense
Amazon Purchase,9950.14,expense
Uber Ride,9310.59,expense
Electricity Bill,8862.76,expense
Uber Ride,1321.57,expense
Loan EMI,9797.59,liability
Mutual Fund Investment,3123.76,asset
Home Loan Interest,7230.58,liability
FD Deposit,8522.5,asset
Car Loan EMI,8425.46,liability
Home Loan Interest,1918.65,liability
Stock Purchase,5719.45,asset
Gold Investment,2890.56,asset
Mutual Fund Investment,6749.04,asset
Freelance Payment,7942.04,income
Mutual Fund Investment,9638.16,asset
Interest Credit,6920.13,income
Gold Investment,3264.58,asset
Electricity Bill,6988.12,expense
Interest Credit,3070.91,income
Bonus Received,2779.15,income
Bonus Received,4203.96,income
Freelance Payment,8009.85,income
Home Loan Interest,3369.16,liability
Amazon Purchase,1576.42,expense
Uber Ride,4585.14,expense
Salary Credit,5151.16,income
Mutual Fund Investment,4201.68,asset
Credit Card Bill,2745.82,liability
Electricity Bill,9598.38,expense
Amazon Purchase,7776.58,expense
Interest Credit,1767.27,income
FD Deposit,4926.76,asset
Swiggy Order,7407.31,expense
Electricity Bill,1392.37,expense
Interest Credit,6320.68,income
Amazon Purchase,8942.67,expense
Swiggy Order,3010.07,expense
Home Loan Interest,6472.4,liability
Swiggy Order,8861.43,expense
Mutual Fund Investment,170.72,asset
Salary Credit,6499.87,income
Uber Ride,8753.41,expense
Stock Purchase,7809.6,asset
Bonus Received,1491.97,income
Home Loan Interest,6034.04,liability
Swiggy Order,4801.15,expense
Freelance Payment,1226.7,income
Home Loan Interest,2311.41,liability
Uber Ride,9453.6,expense
FD Deposit,376.53,asset
Mutual Fund Investment,2207.05,asset
FD Deposit,9425.06,asset
Interest Credit,9558.4,income
Salary Credit,1379.35,income
Amazon Purchase,7448.25,expense
Uber Ride,3444.92,expense
Home Loan Interest,5137.85,liability
Interest Credit,9355.18,income
Car Loan EMI,5969.95,liability
Gold Investment,6459.16,asset
Car Loan EMI,1262.73,liability
FD Deposit,429.35,asset
Credit Card Bill,7403.53,liability
Electricity Bill,5835.69,expense
Amazon Purchase,5498.09,expense
Home Loan Interest,6975.34,liability
Home Loan Interest,1388.66,liability
Mutual Fund Investment,8427.55,asset
Mutual Fund Investment,3008.57,asset
Freelance Payment,2089.59,income
Home Loan Interest,4278.26,liability
Home Loan Interest,3357.55,liability
Salary Credit,1799.71,income
Credit Card Bill,5794.64,liability
FD Deposit,9593.59,asset
Mutual Fund Investment,4150.41,asset
Salary Credit,213.63,income
Loan EMI,3607.78,liability
Loan EMI,3130.34,liability
FD Deposit,5817.98,asset
Swiggy Order,3977.21,expense
Amazon Purchase,5226.1,expense
Uber Ride,3909.28,expense
FD Deposit,8404.89,asset
Loan EMI,6210.31,liability
FD Deposit,9897.17,asset
Salary Credit,1242.6,income
Salary Credit,9145.26,income
Amazon Purchase,9980.27,expense
Stock Purchase,6319.45,asset
Home Loan Interest,6069.87,liability
Swiggy Order,6666.47,expense
Uber Ride,4502.05,expense
Credit Card Bill,3990.9,liability
Amazon Purchase,5252.98,expense
Uber Ride,1993.37,expense
Freelance Payment,5190.4,income
Amazon Purchase,3902.87,expense
Swiggy Order,5464.97,expense
FD Deposit,6031.14,asset
Uber Ride,4591.73,expense
Uber Ride,2078.62,expense
Mutual Fund Investment,5202.51,asset
Mutual Fund Investment,4154.95,asset
Electricity Bill,8026.05,expense
Uber Ride,5986.84,expense
Bonus Received,8364.58,income
Interest Credit,2436.12,income
Home Loan Interest,5596.34,liability
Gold Investment,7413.64,asset
Electricity Bill,1078.62,expense
Amazon Purchase,9656.5,expense
FD Deposit,6381.85,asset
Loan EMI,4629.03,liability
Stock Purchase,9493.42,asset
Amazon Purchase,9670.5,expense
Interest Credit,1554.56,income
Electricity Bill,1795.42,expense
Freelance Payment,5459.1,income
Stock Purchase,1121.33,asset
Amazon Purchase,7967.11,expense
Freelance Payment,9521.9,income
Electricity Bill,846.15,expense
Amazon Purchase,863.55,expense
Uber Ride,6041.63,expense
Salary Credit,5134.15,income
Loan EMI,6141.86,liability
Credit Card Bill,2947.94,liability
Electricity Bill,7741.43,expense
Amazon Purchase,6222.33,expense
Uber Ride,5520.01,expense
Credit Card Bill,8652.41,liability
Swiggy Order,628.96,expense
Swiggy Order,1419.96,expense
Swiggy Order,1206.46,expense
Amazon Purchase,4914.28,expense
Salary Credit,8854.71,income
Amazon Purchase,4860.85,expense
Interest Credit,268.67,income
Stock Purchase,6140.37,asset
FD Deposit,8461.02,asset
Interest Credit,5116.42,income
Interest Credit,4219.77,income
Stock Purchase,321.37,asset
Home Loan Interest,4461.63,liability
Interest Credit,9390.54,income
Freelance Payment,1480.95,income
Interest Credit,4863.76,income
Freelance Payment,889.35,income
Salary Credit,663.95,income
Salary Credit,7281.81,income
Electricity Bill,9307.41,expense
Amazon Purchase,8936.86,expense
Mutual Fund Investment,8272.35,asset
Mutual Fund Investment,6546.03,asset
Mutual Fund Investment,5598.52,asset
Car Loan EMI,1707.98,liability
Bonus Received,5814.49,income
Salary Credit,7235.16,income
Freelance Payment,9624.42,income
Electricity Bill,5748.19,expense
Mutual Fund Investment,5674.62,asset
Interest Credit,5728.68,income
Amazon Purchase,1329.6,expense
FD Deposit,8656.94,asset
Mutual Fund Investment,1350.85,asset
Freelance Payment,3235.15,income
Mutual Fund Investment,4489.78,asset
Loan EMI,8140.69,liability
Salary Credit,1448.15,income
Car Loan EMI,9278.04,liability
FD Deposit,9704.61,asset
Bonus Received,6839.67,income
Credit Card Bill,4055.8,liability
Car Loan EMI,6283.15,liability
Electricity Bill,2753.78,expense
Bonus Received,9763.95,income
Credit Card Bill,6686.74,liability
Mutual Fund Investment,1009.83,asset
Bonus Received,870.65,income
Amazon Purchase,198.69,expense
Loan EMI,2909.37,liability
Interest Credit,7659.39,income
Amazon Purchase,3755.01,expense
Mutual Fund Investment,6408.69,asset
Mutual Fund Investment,3109.7,asset
Amazon Purchase,6696.37,expense
Swiggy Order,952.38,expense
Car Loan EMI,3002.0,liability
Car Loan EMI,7177.52,liability
Amazon Purchase,1190.51,expense
Mutual Fund Investment,3267.86,asset
Credit Card Bill,7398.25,liability
Home Loan Interest,3109.8,liability
Bonus Received,373.65,income
Gold Investment,7612.22,asset
Electricity Bill,5322.55,expense
Uber Ride,7490.54,expense
FD Deposit,6629.38,asset
Interest Credit,5994.53,income
Credit Card Bill,3202.5,liability
Swiggy Order,4811.15,expense
Amazon Purchase,3380.73,expense
FD Deposit,2648.8,asset
Interest Credit,7605.55,income
Uber Ride,3341.2,expense
Uber Ride,9894.73,expense
Stock Purchase,6972.34,asset
Credit Card Bill,2484.4,liability
Amazon Purchase,5225.96,expense
Credit Card Bill,898.01,liability
Amazon Purchase,9956.31,expense
Mutual Fund Investment,2271.91,asset
Bonus Received,2720.52,income
Mutual Fund Investment,3952.33,asset
Freelance Payment,9167.91,income
Car Loan EMI,1358.8,liability
Home Loan Interest,8275.58,liability
Car Loan EMI,419.63,liability
Credit Card Bill,805.9,liability
Salary Credit,8531.1,income
Car Loan EMI,736.02,liability
Electricity Bill,7836.39,expense
Stock Purchase,572.57,asset
Stock Purchase,5179.11,asset
Swiggy Order,1610.09,expense
Car Loan EMI,7964.59,liability
Car Loan EMI,1071.64,liability
Car Loan EMI,4603.81,liability
Uber Ride,3096.05,expense
Loan EMI,7126.58,liability
Credit Card Bill,7208.13,liability
Home Loan Interest,9621.5,liability
Bonus Received,2829.27,income
Uber Ride,7893.6,expense
Interest Credit,773.86,income
Loan EMI,6721.21,liability
Stock Purchase,6086.34,asset
