id,description,amount,category
2671,Utility Expense,64518.78,expense
2672,Utility Expense,,expense
2673,Utility Expense,71349.37,expense
2674,Service Income,20001.61,income
2675,Equipment,89032.48,asset
2676,Utility Expense,28812.22,expense
2677,Rent Expense,36841.82,expense
2678,Tax Payable,5903.39,liability
2679,Accrued Expenses,11240.07,liability
2680,Salary Expense,51634.6,expense
2681,,26832.51,expense
2682,Marketing Expense,83564.47,expense
2683,Interest Income,1567.87,income
2684,Accounts Payable,37971.5,liability
2685,Service Income,33800.82,income
2686,Salary Expense,2030.83,expense
2687,Sales Revenue,12524.4,income
2688,Interest Income,41422.9,income
2689,Interest Income,49337.17,income
2690,Rent Expense,40488.55,expense
2691,Rent Expense,53140.67,expense
2692,Service Income,59553.65,income
2693,Equipment,1091.39,asset
2694,Loan Payable,46463.11,liability
2695,Rent Expense,96353.57,expense
2696,Tax Payable,51951.32,liability
2697,Utility Expense,67786.47,expense
2698,Prepaid Expense,31255.2,asset
2699,Rent Expense,77421.74,expense
2700,Utility Expense,77314.86,expense
2701,Prepaid Expense,52177.48,asset
2702,Service Income,97603.78,income
2703,Rent Expense,12642.47,expense
2704,Utility Expense,1793.07,expense
2705,Utility Expense,77038.81,expense
2706,Marketing Expense,80734.84,expense
2707,Interest Income,12108.7,income
2708,Loan Payable,26631.73,liability
2709,Cash,1853.48,asset
2710,Prepaid Expense,29401.53,asset
2711,Cash,77336.87,asset
2712,Sales Revenue,51844.26,income
2713,Accrued Expenses,34874.75,liability
2714,Service Income,37236.76,income
2715,Sales Revenue,235.23,income
2716,Inventory,30050.07,asset
2717,Utility Expense,64681.23,expense
2718,Service Income,97422.02,income
2719,Interest Income,84721.38,income
2720,Prepaid Expense,2457.14,asset
2721,Equipment,89866.2,asset
2722,Marketing Expense,78341.52,expense
2723,Sales Revenue,78059.57,income
2724,Marketing Expense,45853.78,expense
2725,Service Income,39860.73,income
2726,Accrued Expenses,30361.28,liability
2727,Marketing Expense,6662.92,expense
2728,Accounts Payable,22900.71,liability
2729,Accrued Expenses,24735.7,liability
2730,Loan Payable,invalid,liability
2731,Accounts Receivable,74769.7,asset
2732,Sales Revenue,invalid,income
2733,Service Income,5878.66,income
2734,Marketing Expense,95783.2,expense
2735,Accounts Receivable,94278.16,asset
2736,Loan Payable,78540.44,liability
2737,Service Income,99133.66,income
2738,Inventory,54493.79,asset
2739,,96280.56,asset
2740,Interest Income,7652.94,income
2741,Accounts Payable,36631.51,liability
2742,,22615.59,liability
2743,Rent Expense,19663.73,expense
2744,Accrued Expenses,14166.21,liability
2745,Tax Payable,62279.12,liability
2746,Equipment,78154.05,asset
2747,Service Income,57872.01,income
2748,Accounts Payable,14781.57,liability
2749,Sales Revenue,,income
2750,Rent Expense,63631.88,expense
2751,Tax Payable,38877.75,liability
2752,Accounts Payable,67445.62,liability
2753,Equipment,26064.51,asset
2754,Inventory,34584.7,asset
2755,Marketing Expense,91756.84,expense
2756,Loan Payable,29121.4,liability
2757,Interest Income,47051.83,income
2758,Accrued Expenses,89025.1,liability
2759,Inventory,70801.36,asset
2760,Accounts Payable,6314.1,liability
2761,Interest Income,14815.57,income
2762,Inventory,883.37,asset
2763,Prepaid Expense,invalid,asset
2764,Prepaid Expense,44822.58,asset
2765,Service Income,13514.06,income
2766,Utility Expense,95797.62,expense
2767,Tax Payable,53013.01,liability
2768,Loan Payable,24265.14,liability
2769,Utility Expense,50110.3,expense
2770,Sales Revenue,67994.07,income
2771,Rent Expense,7716.3,expense
2772,Sales Revenue,27542.91,income
2773,Interest Income,80715.85,income
2774,Service Income,46020.52,income
2775,Accounts Receivable,54703.06,asset
2776,Cash,43338.32,asset
2777,Cash,4485.6,asset
2778,Marketing Expense,16658.4,expense
2779,Service Income,44609.61,income
2780,Loan Payable,20997.63,liability
2781,Utility Expense,5092.9,expense
2782,Salary Expense,84380.6,expense
2783,Interest Income,98121.13,income
2784,Sales Revenue,79334.97,income
2785,Marketing Expense,85393.11,expense
2786,Accounts Payable,24273.52,liability
2787,Accounts Payable,96066.63,liability
2788,Accounts Receivable,19772.88,asset
2789,Tax Payable,95147.84,liability
2790,Accounts Payable,99482.45,liability
2791,Utility Expense,71201.11,expense
2792,Interest Income,98116.26,income
2793,Interest Income,56997.02,income
2794,Service Income,26028.22,income
2795,Sales Revenue,43755.89,income
2796,Sales Revenue,59396.74,income
2797,Tax Payable,7400.85,liability
2798,Salary Expense,62272.09,expense
2799,Accounts Payable,98119.67,liability
2800,Sales Revenue,19091.75,income
2801,Accrued Expenses,79280.25,liability
2802,Tax Payable,90799.09,liability
2803,Sales Revenue,94375.79,income
2804,Service Income,96017.55,income
2805,Accrued Expenses,52193.82,liability
2806,Utility Expense,97733.06,expense
2807,Service Income,75755.29,income
2808,Rent Expense,16250.98,expense
2809,Utility Expense,47742.32,expense
2810,Tax Payable,71861.28,liability
2811,Marketing Expense,24809.3,expense
2812,Prepaid Expense,64097.46,asset
2813,Sales Revenue,66693.39,income
2814,Interest Income,16353.7,income
2815,Salary Expense,56552.02,expense
2816,Tax Payable,77185.53,liability
2817,Utility Expense,49939.68,expense
2818,Inventory,1309.1,asset
2819,Sales Revenue,1002.94,income
2820,Sales Revenue,35767.23,income
2821,Prepaid Expense,92626.79,asset
2822,Prepaid Expense,22944.81,asset
2823,Tax Payable,63472.93,liability
2824,Interest Income,22285.38,income
2825,Inventory,32234.83,asset
2826,Equipment,84819.4,asset
2827,,72913.26,liability
2828,Accrued Expenses,9630.39,liability
2829,Inventory,42927.33,asset
2830,Loan Payable,3014.06,liability
2831,Accounts Receivable,48140.93,asset
2832,Interest Income,66277.16,income
2833,Marketing Expense,11938.41,expense
2834,,28959.61,income
2835,Tax Payable,39843.88,liability
2836,Accounts Payable,91961.15,liability
2837,Rent Expense,99326.18,expense
2838,Equipment,4586.64,asset
2839,Tax Payable,76124.69,liability
2840,Rent Expense,37235.23,expense
2841,Tax Payable,39306.57,liability
2842,Marketing Expense,75451.07,expense
2843,Sales Revenue,91850.8,income
2844,Inventory,95097.77,asset
2845,Loan Payable,57754.55,liability
2846,Cash,35776.4,asset
2847,Utility Expense,78776.15,expense
2848,Sales Revenue,25175.04,income
2849,Accrued Expenses,56451.0,liability
2850,Salary Expense,35921.99,expense
2851,Interest Income,65697.44,income
2852,Tax Payable,24115.85,liability
2853,Interest Income,invalid,income
2854,Service Income,91832.08,income
2855,Service Income,10270.19,income
2856,Sales Revenue,50645.19,income
2857,Service Income,22163.19,income
2858,Interest Income,invalid,income
2859,Loan Payable,3698.28,liability
2860,Loan Payable,17604.66,liability
2861,Salary Expense,86690.36,expense
2862,Accounts Receivable,28319.63,asset
2863,Equipment,95050.87,asset
2864,Utility Expense,58204.07,expense
2865,Accounts Payable,43717.76,liability
2866,Inventory,58050.87,asset
2867,Tax Payable,51718.17,liability
2868,Salary Expense,75901.75,expense
2869,Sales Revenue,28321.36,income
2870,Rent Expense,35369.73,expense
2871,Accounts Payable,89420.02,liability
2872,Prepaid Expense,94651.01,asset
2873,Loan Payable,89266.57,liability
2874,Cash,42002.85,asset
2875,Loan Payable,78058.51,liability
2876,Accrued Expenses,47685.94,liability
2877,Cash,49804.23,asset
2878,Accounts Receivable,20547.54,asset
2879,Service Income,59153.92,income
2880,Tax Payable,18694.98,liability
2881,Utility Expense,33223.31,expense
2882,Sales Revenue,85517.52,income
2883,Inventory,20786.87,asset
2884,Loan Payable,7208.71,liability
2885,Utility Expense,6993.86,expense
2886,Accrued Expenses,94084.37,liability
2887,Interest Income,50741.35,income
2888,Marketing Expense,41000.27,expense
2889,Service Income,81106.77,income
2890,Equipment,83599.01,asset
2891,Accrued Expenses,33285.88,liability
2892,Accrued Expenses,69392.44,liability
2893,Accrued Expenses,77135.17,liability
2894,Marketing Expense,65499.6,expense
2895,Tax Payable,15244.35,liability
2896,Marketing Expense,87600.72,expense
2897,Accounts Receivable,53955.55,asset
2898,Tax Payable,28319.0,liability
2899,Sales Revenue,42580.3,income
2900,Accounts Payable,3853.35,liability
2901,Inventory,12873.89,asset
2902,Service Income,76578.12,income
2903,Tax Payable,101.16,liability
2904,Loan Payable,41714.93,liability
2905,Sales Revenue,52298.77,income
2906,Inventory,5557.98,asset
2907,Inventory,97310.51,asset
2908,Marketing Expense,invalid,expense
2909,Accounts Receivable,30489.45,asset
2910,Inventory,30463.86,asset
2911,Rent Expense,23118.62,expense
2912,Accounts Payable,247.23,liability
2913,Prepaid Expense,72961.54,asset
2914,Equipment,96687.87,asset
2915,Tax Payable,22506.92,liability
2916,Marketing Expense,66338.41,expense
2917,Sales Revenue,74215.44,income
2918,Rent Expense,84857.7,expense
2919,Rent Expense,42320.66,expense
2920,Service Income,30362.8,income
2921,Loan Payable,32596.98,liability
2922,Cash,71290.87,asset
2923,Cash,invalid,asset
2924,Marketing Expense,18243.24,expense
2925,Cash,37157.01,asset
2926,Inventory,90203.83,asset
2927,Service Income,80688.68,income
2928,Accounts Payable,98487.35,liability
2929,Sales Revenue,75449.4,income
2930,Service Income,39380.2,income
2931,Utility Expense,,expense
2932,Accounts Payable,66135.32,liability
2933,Service Income,,income
2934,Service Income,54495.25,income
2935,Accounts Receivable,70961.15,asset
2936,Sales Revenue,16815.4,income
2937,Accrued Expenses,78085.11,liability
2938,Accounts Payable,58418.9,liability
2939,Sales Revenue,95226.96,income
2940,Cash,4337.99,asset
2941,Marketing Expense,26606.08,expense
2942,Accounts Payable,60195.23,liability
2943,Accounts Payable,29726.34,liability
2944,Sales Revenue,71470.97,income
2945,Accrued Expenses,75924.63,liability
2946,Interest Income,10341.34,income
2947,Accounts Payable,51434.06,liability
2948,Tax Payable,50938.17,liability
2949,Loan Payable,36991.15,liability
2950,Accrued Expenses,93299.19,liability
2951,,82767.88,liability
2952,Loan Payable,69751.22,liability
2953,Rent Expense,71461.23,expense
2954,Salary Expense,46225.44,expense
2955,,92107.35,liability
2956,Equipment,69490.08,asset
2957,Sales Revenue,72925.21,income
2958,Utility Expense,86182.92,expense
2959,,27479.75,income
2960,Accrued Expenses,80726.38,liability
2961,Prepaid Expense,19604.54,asset
2962,Loan Payable,34599.66,liability
2963,Salary Expense,33627.48,expense
2964,Loan Payable,97854.69,liability
2965,Salary Expense,85668.07,expense
2966,Tax Payable,70146.87,liability
2967,Interest Income,72732.97,income
2968,Interest Income,56251.07,income
2969,,94714.36,liability
2970,Inventory,49676.25,asset
2971,Salary Expense,38113.72,expense
2972,Utility Expense,16387.23,expense
2973,Interest Income,78641.94,income
2974,Interest Income,73470.95,income
2975,Inventory,38497.07,asset
2976,Cash,2616.82,asset
2977,Equipment,83915.83,asset
2978,Sales Revenue,1240.66,income
2979,Service Income,70399.61,income
2980,Cash,97028.69,asset
2981,Loan Payable,43822.37,liability
2982,,23573.84,liability
2983,Tax Payable,70516.61,liability
2984,Accounts Payable,81731.1,liability
2985,Interest Income,54688.39,income
2986,Loan Payable,96706.82,liability
2987,Sales Revenue,5261.71,income
2988,Interest Income,50529.08,income
2989,Service Income,71873.55,income
2990,Loan Payable,invalid,liability
2991,Utility Expense,18007.64,expense
2992,Rent Expense,80020.35,expense
2993,Sales Revenue,55315.44,income
2994,Service Income,39715.71,income
2995,Interest Income,13258.33,income
2996,Marketing Expense,86543.05,expense
2997,Accounts Receivable,15811.59,asset
2998,Sales Revenue,31047.81,income
2999,Prepaid Expense,29075.55,asset
3000,Accrued Expenses,87154.26,liability
3001,Service Income,invalid,income
3002,Cash,79688.47,asset
3003,Sales Revenue,25121.74,income
3004,Service Income,62524.92,income
3005,Accounts Payable,57217.42,liability
3006,Interest Income,83299.75,income
3007,Interest Income,90618.1,income
3008,Accrued Expenses,1314.46,liability
3009,,67434.59,asset
3010,Utility Expense,5278.4,expense
3011,Accrued Expenses,54930.98,liability
3012,Service Income,28834.51,income
3013,Service Income,30746.98,income
3014,Utility Expense,35360.55,expense
3015,Salary Expense,62167.12,expense
3016,Inventory,33471.59,asset
3017,Prepaid Expense,73296.64,asset
3018,Accounts Payable,40512.29,liability
3019,Tax Payable,6928.48,liability
3020,Service Income,78397.61,income
3021,Sales Revenue,28647.26,income
3022,Accrued Expenses,43333.41,liability
3023,Accrued Expenses,68575.84,liability
3024,Inventory,33312.37,asset
3025,Sales Revenue,5752.91,income
3026,Prepaid Expense,37454.71,asset
3027,Accounts Receivable,94450.41,asset
3028,Interest Income,64209.27,income
3029,Loan Payable,67180.77,liability
3030,Service Income,63264.99,income
3031,Accounts Payable,19979.31,liability
3032,Rent Expense,41891.55,expense
3033,Marketing Expense,75118.89,expense
3034,Marketing Expense,invalid,expense
3035,Loan Payable,,liability
3036,Inventory,27704.28,asset
3037,Equipment,,asset
3038,Utility Expense,98038.84,expense
3039,Service Income,6843.5,income
3040,Service Income,51918.23,income
3041,Accounts Receivable,18018.53,asset
3042,Loan Payable,97070.59,liability
3043,Cash,11419.02,asset
3044,Prepaid Expense,40419.74,asset
3045,Service Income,73814.71,income
3046,Tax Payable,70484.99,liability
3047,Accounts Payable,42330.59,liability
3048,Accrued Expenses,34717.76,liability
3049,Tax Payable,39821.48,liability
3050,Salary Expense,26501.2,expense
3051,Salary Expense,20612.76,expense
3052,Utility Expense,,expense
3053,Accrued Expenses,26926.52,liability
3054,Accounts Receivable,28817.42,asset
3055,Interest Income,65709.93,income
3056,Loan Payable,96856.88,liability
3057,Cash,60403.36,asset
3058,Tax Payable,7790.25,liability
3059,Accounts Receivable,7650.8,asset
3060,Rent Expense,95147.18,expense
3061,Tax Payable,29799.35,liability
3062,Salary Expense,9297.49,expense
3063,Sales Revenue,59944.55,income
3064,,62402.51,income
3065,Prepaid Expense,64885.63,asset
3066,Marketing Expense,26813.46,expense
3067,Accounts Receivable,1609.56,asset
3068,Marketing Expense,96505.04,expense
3069,Accrued Expenses,25164.22,liability
3070,Interest Income,67635.03,income
3071,Equipment,invalid,asset
3072,Accrued Expenses,61039.74,liability
3073,Interest Income,31359.45,income
3074,Salary Expense,27182.52,expense
3075,Tax Payable,59807.06,liability
3076,Tax Payable,86622.95,liability
3077,Marketing Expense,94678.7,expense
3078,Tax Payable,10679.99,liability
3079,Loan Payable,15567.38,liability
3080,Prepaid Expense,94479.15,asset
3081,Prepaid Expense,73679.87,asset
3082,Interest Income,88311.08,income
3083,Interest Income,20343.0,income
3084,Sales Revenue,58799.83,income
3085,Inventory,70143.85,asset
3086,Sales Revenue,68043.18,income
3087,Accounts Receivable,40874.35,asset
3088,Inventory,1637.95,asset
3089,Prepaid Expense,58334.31,asset
3090,Equipment,25384.84,asset
3091,Utility Expense,45080.4,expense
3092,Loan Payable,95762.34,liability
3093,Salary Expense,39963.63,expense
3094,Accounts Payable,83996.18,liability
3095,Accounts Payable,18935.21,liability
3096,Inventory,67278.8,asset
3097,Prepaid Expense,97702.99,asset
3098,Interest Income,10279.12,income
3099,Utility Expense,931.16,expense
3100,Accounts Receivable,43414.92,asset
3101,Loan Payable,9353.29,liability
3102,Accounts Receivable,74863.6,asset
3103,Tax Payable,invalid,liability
3104,Service Income,43458.7,income
3105,Interest Income,25945.29,income
3106,Accrued Expenses,43496.89,liability
3107,Marketing Expense,72372.44,expense
3108,Marketing Expense,1004.51,expense
3109,Inventory,58986.45,asset
3110,Inventory,61367.84,asset
3111,Inventory,63805.06,asset
3112,Utility Expense,24278.01,expense
3113,Prepaid Expense,71433.87,asset
3114,Sales Revenue,invalid,income
3115,Tax Payable,20007.11,liability
3116,Sales Revenue,87759.26,income
3117,Sales Revenue,73898.44,income
3118,Accrued Expenses,,liability
3119,Inventory,24912.79,asset
3120,Sales Revenue,21519.21,income
3121,Equipment,27153.55,asset
3122,Accrued Expenses,24831.22,liability
3123,Sales Revenue,6346.38,income
3124,Service Income,45948.16,income
3125,Tax Payable,73300.07,liability
3126,Loan Payable,60712.5,liability
3127,Accrued Expenses,67319.88,liability
3128,Service Income,8206.8,income
3129,Service Income,95153.92,income
3130,Sales Revenue,83865.33,income
3131,Salary Expense,80528.52,expense
3132,Inventory,82316.08,asset
3133,Sales Revenue,93277.78,income
3134,Cash,54470.97,asset
3135,Sales Revenue,20108.17,income
3136,Accounts Receivable,61716.68,asset
3137,Salary Expense,74313.86,expense
3138,Service Income,73817.95,income
3139,Loan Payable,52192.76,liability
3140,,6939.03,expense
3141,Utility Expense,37174.18,expense
3142,Marketing Expense,92084.58,expense
3143,Rent Expense,58486.45,expense
3144,,53879.36,asset
3145,Cash,26958.47,asset
3146,Utility Expense,36908.05,expense
3147,Salary Expense,89545.07,expense
3148,Accounts Receivable,66679.66,asset
3149,Service Income,78759.96,income
3150,Inventory,45489.11,asset
3151,Marketing Expense,63061.7,expense
3152,Accounts Payable,24913.52,liability
3153,Accounts Payable,70575.54,liability
3154,Loan Payable,42817.37,liability
3155,Prepaid Expense,,asset
3156,Marketing Expense,64967.3,expense
3157,Accrued Expenses,93634.43,liability
3158,Marketing Expense,6494.23,expense
3159,Salary Expense,82491.85,expense
3160,Equipment,29309.07,asset
3161,Inventory,44447.55,asset
3162,Service Income,2289.14,income
3163,Interest Income,30174.5,income
3164,Salary Expense,50312.86,expense
3165,Rent Expense,5711.99,expense
3166,Accounts Receivable,49160.46,asset
3167,Rent Expense,92718.35,expense
3168,Interest Income,10628.78,income
3169,Accrued Expenses,76467.63,liability
3170,Rent Expense,41026.14,expense
3171,Utility Expense,65551.85,expense
3172,Salary Expense,26097.64,expense
3173,Sales Revenue,16033.28,income
3174,Interest Income,16130.22,income
3175,Sales Revenue,7142.15,income
3176,Service Income,18646.11,income
3177,Cash,66455.52,asset
3178,Prepaid Expense,88180.89,asset
3179,Utility Expense,81431.16,expense
3180,Interest Income,68544.92,income
3181,Accounts Payable,invalid,liability
3182,Cash,28989.83,asset
3183,Service Income,31049.71,income
3184,Accounts Receivable,25070.7,asset
3185,Tax Payable,51549.07,liability
3186,Service Income,53601.83,income
3187,Prepaid Expense,35752.91,asset
3188,Salary Expense,35443.54,expense
3189,Prepaid Expense,82872.7,asset
3190,Marketing Expense,invalid,expense
3191,Sales Revenue,30848.8,income
3192,Rent Expense,91387.47,expense
3193,Sales Revenue,95286.22,income
3194,Accounts Receivable,32741.58,asset
3195,Inventory,35507.05,asset
3196,Salary Expense,50612.85,expense
3197,Salary Expense,94117.97,expense
3198,Accrued Expenses,87644.31,liability
3199,Accrued Expenses,10346.54,liability
3200,Loan Payable,39333.8,liability
3201,Salary Expense,55381.78,expense
3202,Tax Payable,50362.93,liability
3203,Accrued Expenses,19466.92,liability
3204,Tax Payable,85895.8,liability
3205,Loan Payable,67726.38,liability
3206,Loan Payable,83807.05,liability
3207,Utility Expense,invalid,expense
3208,,,income
3209,Interest Income,43977.14,income
3210,Interest Income,61093.62,income
3211,Sales Revenue,16120.5,income
3212,Service Income,67397.18,income
3213,Tax Payable,18007.4,liability
3214,Loan Payable,69425.56,liability
3215,Utility Expense,23036.86,expense
3216,Rent Expense,11843.37,expense
3217,Loan Payable,16611.92,liability
3218,Inventory,299.01,asset
3219,Utility Expense,71902.09,expense
3220,Interest Income,73266.86,income
3221,Tax Payable,51541.84,liability
3222,Service Income,16220.14,income
3223,Utility Expense,8447.08,expense
3224,Loan Payable,2010.98,liability
3225,Rent Expense,16658.24,expense
3226,,89096.47,expense
3227,Accrued Expenses,24229.53,liability
3228,Interest Income,35491.71,income
3229,Sales Revenue,10624.01,income
3230,Accrued Expenses,invalid,liability
3231,Accounts Payable,51970.53,liability
3232,Tax Payable,60814.49,liability
3233,Marketing Expense,24610.7,expense
3234,Accounts Payable,5867.44,liability
3235,Accrued Expenses,39164.18,liability
3236,Inventory,23496.92,asset
3237,Sales Revenue,invalid,income
3238,Cash,95990.29,asset
3239,Utility Expense,,expense
3240,Inventory,55732.16,asset
3241,Tax Payable,41635.93,liability
3242,Interest Income,42951.54,income
3243,Equipment,54136.41,asset
3244,Interest Income,69673.34,income
3245,Rent Expense,70244.4,expense
3246,Service Income,17252.22,income
3247,Interest Income,50061.26,income
3248,Loan Payable,41254.61,liability
3249,Rent Expense,87065.64,expense
3250,Cash,63178.75,asset
3251,Service Income,53297.16,income
3252,Interest Income,invalid,income
3253,Marketing Expense,60603.23,expense
3254,Utility Expense,11808.67,expense
3255,Sales Revenue,33786.94,income
3256,Interest Income,14369.91,income
3257,,69238.16,income
3258,Interest Income,20704.59,income
3259,Sales Revenue,39246.75,income
3260,Cash,89577.91,asset
3261,Tax Payable,20511.21,liability
3262,Inventory,50829.73,asset
3263,Marketing Expense,41985.24,expense
3264,Marketing Expense,1910.59,expense
3265,Tax Payable,79296.54,liability
3266,Salary Expense,6997.69,expense
3267,Tax Payable,47478.08,liability
3268,Utility Expense,56111.76,expense
3269,Loan Payable,62879.8,liability
3270,Interest Income,68894.3,income
3271,Accounts Receivable,25401.91,asset
3272,Rent Expense,1096.88,expense
3273,Accrued Expenses,72372.02,liability
3274,Interest Income,53612.09,income
3275,,83628.16,liability
3276,Rent Expense,82156.7,expense
3277,Utility Expense,84348.28,expense
3278,Rent Expense,48560.96,expense
3279,Accounts Receivable,33429.48,asset
3280,Accounts Receivable,79176.66,asset
3281,Equipment,45184.28,asset
3282,Rent Expense,18425.88,expense
3283,Rent Expense,85511.9,expense
3284,Equipment,88267.73,asset
3285,Tax Payable,46684.34,liability
3286,Accrued Expenses,7662.4,liability
3287,Accounts Receivable,38843.83,asset
3288,Accrued Expenses,80373.41,liability
3289,Rent Expense,90187.23,expense
3290,Accounts Receivable,20426.93,asset
3291,Sales Revenue,6790.66,income
3292,Prepaid Expense,87747.31,asset
3293,Tax Payable,39001.55,liability
3294,Accrued Expenses,54221.92,liability
3295,Utility Expense,96809.77,expense
3296,Interest Income,6749.82,income
3297,Marketing Expense,64866.97,expense
3298,Tax Payable,7503.13,liability
3299,Rent Expense,invalid,expense
3300,Sales Revenue,80401.07,income
3301,Accrued Expenses,43403.88,liability
3302,Accounts Receivable,99718.52,asset
3303,Marketing Expense,55950.02,expense
3304,Inventory,32184.1,asset
3305,Accrued Expenses,22089.12,liability
3306,Loan Payable,35117.0,liability
3307,Tax Payable,37316.07,liability
3308,Utility Expense,6964.5,expense
3309,Marketing Expense,37020.46,expense
3310,Rent Expense,46477.43,expense
3311,Interest Income,72301.5,income
3312,Tax Payable,65707.28,liability
3313,Accounts Receivable,invalid,asset
3314,Cash,935.53,asset
3315,Service Income,21844.97,income
3316,Service Income,66202.26,income
3317,Tax Payable,48450.54,liability
3318,Equipment,630.82,asset
3319,Accounts Receivable,80469.01,asset
3320,Tax Payable,77303.68,liability
3321,Marketing Expense,54887.07,expense
3322,Accounts Payable,6739.69,liability
3323,Service Income,76674.85,income
3324,Salary Expense,58412.99,expense
3325,Tax Payable,78217.8,liability
3326,Accounts Payable,75199.52,liability
3327,Salary Expense,80319.91,expense
3328,Service Income,51849.01,income
3329,Loan Payable,14118.42,liability
3330,Interest Income,67148.63,income
3331,Accounts Payable,62085.33,liability
3332,Interest Income,74251.09,income
3333,Accounts Payable,17071.11,liability
3334,Sales Revenue,19578.02,income
3335,Tax Payable,89051.91,liability
3336,Marketing Expense,75022.78,expense
3337,Interest Income,90832.03,income
3338,Prepaid Expense,75895.66,asset
3339,Accounts Payable,59755.82,liability
3340,Accounts Payable,65447.86,liability
3341,Inventory,88923.88,asset
3342,Rent Expense,57922.79,expense
3343,Marketing Expense,63275.89,expense
3344,Accounts Receivable,15732.02,asset
3345,Service Income,47444.73,income
3346,Cash,71668.07,asset
3347,Prepaid Expense,27167.18,asset
3348,Accounts Payable,20305.19,liability
3349,Interest Income,31451.3,income
3350,Prepaid Expense,24225.91,asset
3351,Utility Expense,21569.77,expense
3352,Service Income,42542.6,income
3353,Loan Payable,90793.07,liability
3354,Utility Expense,50755.26,expense
3355,Tax Payable,18873.25,liability
3356,Rent Expense,7789.47,expense
3357,Inventory,69646.0,asset
3358,Accounts Receivable,38341.6,asset
3359,Tax Payable,82200.91,liability
3360,Tax Payable,65985.13,liability
3361,Interest Income,79644.52,income
3362,Rent Expense,27267.41,expense
3363,Accrued Expenses,69266.66,liability
3364,Cash,26479.79,asset
3365,Prepaid Expense,93912.94,asset
3366,Service Income,63673.79,income
3367,Service Income,32518.73,income
3368,Interest Income,27024.24,income
3369,Rent Expense,19173.57,expense
3370,Accounts Payable,69494.63,liability
3371,Utility Expense,21949.69,expense
3372,Rent Expense,59570.8,expense
3373,Cash,26537.04,asset
3374,Sales Revenue,66230.7,income
3375,Inventory,81512.48,asset
3376,Sales Revenue,77824.72,income
3377,Utility Expense,76109.05,expense
3378,Interest Income,18853.47,income
3379,Accrued Expenses,8929.66,liability
3380,Marketing Expense,69924.99,expense
3381,Marketing Expense,36897.89,expense
3382,Utility Expense,43291.39,expense
3383,Loan Payable,3211.79,liability
3384,Accounts Payable,26031.69,liability
3385,Tax Payable,3464.27,liability
3386,Accrued Expenses,87930.66,liability
3387,Utility Expense,24415.33,expense
3388,Prepaid Expense,invalid,asset
3389,Inventory,3994.03,asset
3390,Service Income,66718.05,income
3391,Marketing Expense,32370.43,expense
3392,Interest Income,89802.13,income
3393,Loan Payable,88823.01,liability
3394,Sales Revenue,32596.53,income
3395,Service Income,90105.99,income
3396,Accrued Expenses,99616.15,liability
3397,Tax Payable,82559.02,liability
3398,Accounts Receivable,84502.65,asset
3399,,24975.97,liability
3400,Tax Payable,57712.57,liability
3401,Inventory,6818.87,asset
3402,Salary Expense,9582.3,expense
3403,Accounts Receivable,99889.37,asset
3404,Accrued Expenses,32731.26,liability
3405,Interest Income,74843.57,income
3406,Utility Expense,80685.84,expense
3407,Utility Expense,85816.52,expense
3408,Accounts Payable,99763.07,liability
3409,Interest Income,24225.5,income
3410,Rent Expense,4131.05,expense
3411,Accounts Payable,,liability
3412,Salary Expense,13095.06,expense
3413,Accrued Expenses,2340.35,liability
3414,Marketing Expense,36106.64,expense
3415,Service Income,78395.45,income
3416,Inventory,56661.45,asset
3417,Loan Payable,31346.52,liability
3418,Sales Revenue,65468.77,income
3419,Cash,23278.62,asset
3420,Utility Expense,1536.71,expense
3421,Accounts Receivable,76458.9,asset
3422,Rent Expense,invalid,expense
3423,Prepaid Expense,76254.03,asset
3424,Tax Payable,3989.91,liability
3425,Salary Expense,83728.25,expense
3426,Accrued Expenses,61990.67,liability
3427,Cash,56383.2,asset
3428,Salary Expense,,expense
3429,Utility Expense,86456.88,expense
3430,Loan Payable,58734.96,liability
3431,Prepaid Expense,58136.94,asset
3432,Equipment,99068.85,asset
3433,Tax Payable,75697.34,liability
3434,Equipment,44285.15,asset
3435,Utility Expense,70768.96,expense
3436,Sales Revenue,38984.12,income
3437,Utility Expense,22964.66,expense
3438,Service Income,59725.5,income
3439,Tax Payable,92825.39,liability
3440,Accrued Expenses,92921.04,liability
3441,Tax Payable,34256.34,liability
3442,Interest Income,,income
3443,Prepaid Expense,21242.43,asset
3444,Accounts Payable,99563.55,liability
3445,Service Income,98113.68,income
3446,Equipment,64985.94,asset
3447,Cash,80460.96,asset
3448,Salary Expense,71538.51,expense
3449,Rent Expense,59356.51,expense
3450,Cash,5429.46,asset
3451,Rent Expense,45530.96,expense
3452,Rent Expense,67511.15,expense
3453,Accounts Receivable,67785.41,asset
3454,Equipment,37374.95,asset
3455,Loan Payable,94175.03,liability
3456,Salary Expense,16818.97,expense
3457,Cash,50085.91,asset
3458,Loan Payable,69119.31,liability
3459,Service Income,69743.87,income
3460,Accounts Payable,64899.03,liability
3461,Interest Income,27601.29,income
3462,Service Income,15705.04,income
3463,Utility Expense,63630.44,expense
3464,Accounts Receivable,59970.28,asset
3465,Service Income,18017.67,income
3466,Rent Expense,70543.4,expense
3467,Utility Expense,45571.68,expense
3468,Sales Revenue,66809.28,income
3469,Tax Payable,83752.97,liability
3470,Cash,17055.87,asset
3471,Utility Expense,2012.57,expense
