Date,Description,Amount,txn_id,remarks,ref_no,Narration
07-02-2023,Loan EMI,44226.14,TXN32956,ok,790303,
08-06-2023,insurance premium,90614.59,TXN36883,ok,362187,
28-02-2023,Consulting income,12245.78,TXN78306,,643923,
08-09-2023,Amazon order,26721.06,TXN25748,ok,583106,
27-10-2023,,65813.53,TXN21052,ok,372869,Uber ride
19-12-2023,,7633.56,TXN88070,ok,570914,office supplies
19-04-2023,vehicle purchase,92955.27,TXN30359,,362690,
11-10-2023,Vendorpayment,4907.42,TXN65766,ok,217203,
20-10-2023,Client payment received,63121.0,TXN39201,ok,380548,
18-09-2023,,41575.69,TXN51916,ok,951974,Gym membership
15-02-2023,Consulting income,69754.86,TXN81576,ok,978495,
08-12-2023,,238.84,TXN57601,ok,667958,Electricity bill
14-07-2023,Vehicle purchase,32905.79,TXN72831,ok,771034,
04-06-2023,,13396.7,TXN76632,ok,714682,Internet bill
04-10-2023,,12287.83,TXN22273,,104493,Freelance income
14-03-2023,,26088.24,TXN50229,ok,526077,Rent payment
18-06-2023,vendor payment,2112.6,TXN99837,,534201,
21-08-2023,Bonus received,30477.03,TXN14048,ok,127463,
10-10-2023,,71529.26,TXN41151,,267981,Consulting income
23-07-2023,,33535.63,TXN82939,ok,699561,vendor payment
20-06-2023,Consulting income,54711.93,TXN27971,,407384,
24-09-2023,,11620.48,TXN70407,ok,230805,Freelance income
12-07-2023,Laptop purchase,70890.46,TXN16139,ok,600067,
04-08-2023,Netflix subscription,8593.63,TXN85895,ok,583403,
19-08-2023,Office supplies,50331.71,TXN11516,ok,136929,
17-03-2023,Laptop purchase,28696.99,TXN90114,,638321,
03-01-2023,Bonus received,5928.35,TXN58635,,755713,
22-12-2023,,93993.43,TXN22071,ok,429641,Gymmembership
06-08-2023,Insurancepremium,23422.93,TXN27181,ok,258515,
28-04-2023,Consulting income,57106.9,TXN76586,ok,517213,
24-01-2023,mobile recharge,,TXN90344,ok,723592,
14-03-2023,Rentpayment,99350.26,TXN18897,,694059,
12-05-2023,,42227.25,TXN28831,ok,334543,Consulting income
24-10-2023,Mobile recharge,79282.86,TXN17868,ok,283840,
25-02-2023,,37666.95,TXN29893,ok,529793,Rentpayment
25-04-2023,internet bill,85738.15,TXN85279,ok,746854,
01-09-2023,loan emi,34308.38,TXN80984,ok,852173,
04-12-2023,Amazon order,46208.98,TXN29730,ok,272823,
01-11-2023,,,TXN18086,ok,208178,Internet bill
22-07-2023,Internet bill,,TXN77480,ok,586193,
08-12-2023,,84196.05,TXN60161,ok,967636,Salary credited
06-10-2023,Client payment received,51604.63,TXN57951,,134495,
07-03-2023,,68144.81,TXN63041,ok,102866,Client payment received
01-09-2023,Uber ride,85947.92,TXN13574,ok,594275,
14-03-2023,Laptop purchase,46929.77,TXN41656,,290782,
05-04-2023,Uber ride,93398.07,TXN96776,,838973,
29-06-2023,Amazon order,98164.31,TXN60909,ok,484550,
29-01-2023,,90994.72,TXN11677,ok,367433,Salary credited
17-10-2023,,37665.94,TXN65427,ok,884801,Freelance income
07-05-2023,,70120.45,TXN22807,,596883,Vehicle purchase
12-09-2023,Freelanceincome,93931.8,TXN16755,ok,703592,
04-10-2023,Client payment received,54964.47,TXN80681,ok,798277,
08-11-2023,rent payment,42574.71,TXN99593,,871640,
27-07-2023,,29288.28,TXN76399,,794405,Loan EMI
23-01-2023,vendor payment,21405.91,TXN11351,ok,135473,
27-11-2023,,74062.31,TXN35034,,257049,internet bill
11-03-2023,Client payment received,20053.58,TXN17245,ok,771594,
12-09-2023,,87819.54,TXN99901,ok,613384,Mobile recharge
23-12-2023,Mobile recharge,79645.56,TXN75381,,800986,
07-08-2023,,54305.28,TXN60648,ok,507374,Gym membership
15-07-2023,,43196.72,TXN98394,ok,227430,Loan EMI
22-07-2023,,27798.32,TXN86899,ok,103560,consulting income
13-11-2023,,14905.34,TXN21978,ok,832976,Loan EMI
18-03-2023,Gym membership,8943.98,TXN93746,ok,461644,
10-02-2023,Vendor payment,79293.63,TXN35073,,663458,
27-03-2023,Client payment received,,TXN34914,ok,336459,
16-04-2023,,23717.68,TXN68687,ok,188712,Insurance premium
09-07-2023,Laptop purchase,25317.23,TXN51661,,866535,
22-11-2023,,51259.81,TXN18801,ok,910002,Uber ride
04-07-2023,Amazonorder,51736.35,TXN31040,ok,117394,
23-02-2023,Vehicle purchase,587.52,TXN89192,ok,512876,
18-08-2023,,77501.76,TXN78752,,731835,Office supplies
25-08-2023,,67121.6,TXN68408,ok,179322,Consulting income
21-10-2023,Loan EMI,35326.5,TXN34595,ok,465758,
10-08-2023,office supplies,39396.68,TXN98923,ok,122057,
23-02-2023,Vendor payment,61064.43,TXN38108,ok,262008,
05-08-2023,Electricitybill,5627.22,TXN46996,ok,388211,
04-10-2023,Vendor payment,99159.16,TXN20703,ok,117198,
05-09-2023,mobilerecharge,81828.49,TXN13716,ok,481835,
05-03-2023,,39025.9,TXN52582,ok,520460,Amazon order
03-02-2023,Salary credited,92055.95,TXN53300,,468808,
03-11-2023,Freelance income,42087.47,TXN79650,ok,501957,
07-10-2023,internet bill,27463.13,TXN71715,ok,498550,
14-04-2023,Vehicle purchase,81888.81,TXN22888,ok,744080,
25-12-2023,Vendor payment,45666.26,TXN24935,ok,701167,
20-03-2023,Office supplies,71712.58,TXN29200,ok,636789,
24-08-2023,Uber ride,20281.74,TXN96307,,559758,
13-09-2023,Rent payment,40162.55,TXN73926,,140262,
19-08-2023,insurance premium,4612.35,TXN65860,ok,725889,
04-11-2023,Uberride,8724.1,TXN18103,ok,655151,
13-06-2023,loanemi,36846.2,TXN70823,ok,229994,
01-12-2023,gym membership,39313.96,TXN27485,ok,925900,
14-05-2023,Uber ride,13252.1,TXN34634,ok,473924,
09-07-2023,Insurance premium,19947.98,TXN31928,ok,297881,
26-02-2023,Loan EMI,3184.59,TXN44994,ok,592002,
20-11-2023,Gym membership,87163.27,TXN99648,ok,505259,
15-12-2023,Consulting income,72890.73,TXN52387,,381020,
30-09-2023,Laptoppurchase,6641.36,TXN95037,ok,393890,
04-06-2023,freelance income,51249.35,TXN75412,ok,100568,
29-07-2023,client payment received,72682.62,TXN88920,ok,843953,
18-12-2023,insurance premium,92161.49,TXN61461,ok,479568,
24-02-2023,Internetbill,94343.18,TXN84504,ok,383304,
21-10-2023,Bonus received,85218.94,TXN38737,ok,466091,
08-07-2023,Bonus received,49689.7,TXN13829,ok,658340,
12-11-2023,Consulting income,97909.57,TXN67484,ok,287707,
01-09-2023,mobile recharge,5319.67,TXN43245,ok,930625,
03-01-2023,Rentpayment,79976.11,TXN26573,ok,586706,
11-03-2023,,42321.69,TXN52275,ok,248434,Laptop purchase
15-10-2023,,34419.97,TXN22301,,186880,Mobile recharge
31-07-2023,Insurance premium,44320.74,TXN82548,ok,288958,
27-04-2023,,83856.82,TXN72698,ok,749480,Consultingincome
17-06-2023,Client payment received,14903.12,TXN29842,ok,173524,
09-08-2023,Electricity bill,24463.67,TXN35479,,346929,
05-10-2023,Internet bill,16365.52,TXN93402,ok,584918,
23-05-2023,Freelance income,5596.37,TXN66006,,853602,
27-03-2023,,27955.63,TXN32717,,138028,Insurancepremium
24-07-2023,,47657.19,TXN23904,,893241,Freelance income
07-08-2023,Bonus received,64557.25,TXN45597,ok,805567,
07-04-2023,,598.67,TXN19143,ok,289851,Gym membership
08-04-2023,Loan EMI,82216.45,TXN21852,ok,484948,
19-06-2023,,51278.47,TXN66692,,849147,Loan EMI
16-11-2023,Rent payment,49795.35,TXN35136,ok,590945,
08-11-2023,Internet bill,8732.72,TXN26409,,293029,
08-05-2023,,53639.9,TXN97789,,425367,Vehicle purchase
20-07-2023,Vehicle purchase,87943.94,TXN38752,,480353,
11-06-2023,Netflix subscription,96896.78,TXN40896,ok,578974,
06-02-2023,Consulting income,81289.31,TXN89086,ok,177799,
14-10-2023,,23198.28,TXN40589,ok,924607,Laptop purchase
10-08-2023,,70494.69,TXN94009,ok,905433,Gymmembership
29-11-2023,Electricity bill,29894.92,TXN74770,ok,842126,
11-02-2023,,9745.64,TXN24519,ok,266314,Laptop purchase
10-01-2023,Freelance income,96880.78,TXN65936,ok,606689,
03-04-2023,Loan EMI,81481.61,TXN57499,ok,666255,
20-02-2023,Amazon order,52580.25,TXN12758,ok,335961,
20-08-2023,Uber ride,37747.12,TXN87348,ok,746008,
28-09-2023,electricity bill,61919.46,TXN38472,ok,921448,
07-06-2023,,4063.14,TXN63397,,748104,Salary credited
17-09-2023,Uber ride,87438.83,TXN64337,ok,234393,
08-04-2023,Internet bill,,TXN44603,ok,351147,
02-10-2023,Netflix subscription,49994.0,TXN16648,,700237,
19-12-2023,Insurance premium,77194.21,TXN34710,ok,172732,
12-12-2023,Gym membership,74014.5,TXN14363,,591316,
09-06-2023,,53064.22,TXN93867,ok,620410,vendor payment
26-08-2023,,57247.74,TXN44556,,849721,Insurance premium
06-01-2023,loan emi,63107.2,TXN69803,ok,749364,
25-08-2023,Vendor payment,91115.94,TXN95813,ok,137646,
28-04-2023,Consulting income,79904.75,TXN51790,ok,362877,
02-04-2023,Vehicle purchase,99606.52,TXN38049,ok,724887,
11-12-2023,Netflixsubscription,90125.62,TXN31427,ok,859136,
21-07-2023,Freelanceincome,83156.2,TXN23752,,529167,
16-12-2023,Netflix subscription,15682.82,TXN35904,ok,605905,
06-07-2023,Vehicle purchase,48286.23,TXN52198,ok,346332,
14-12-2023,,27730.57,TXN22349,,855327,Mobile recharge
24-09-2023,freelance income,25857.63,TXN98446,ok,735493,
07-01-2023,,74331.48,TXN93664,ok,967148,Vehicle purchase
20-08-2023,Amazon order,57405.7,TXN17143,ok,252040,
06-11-2023,,65378.14,TXN34236,ok,550594,consulting income
13-06-2023,Laptop purchase,43348.34,TXN49485,ok,393661,
15-03-2023,Office supplies,68370.5,TXN89555,ok,654190,
17-10-2023,Consulting income,977.4,TXN33083,ok,335125,
28-05-2023,,54960.89,TXN18480,ok,643728,Gym membership
24-08-2023,rent payment,45094.95,TXN35892,ok,580855,
02-04-2023,Consulting income,67453.96,TXN36176,ok,863160,
27-12-2023,Bonus received,81551.37,TXN23514,ok,562475,
14-09-2023,,76360.56,TXN96871,,669237,Electricity bill
30-01-2023,Laptop purchase,64822.69,TXN61254,ok,900234,
03-10-2023,Electricity bill,67441.57,TXN31045,ok,504819,
22-08-2023,Amazon order,85661.45,TXN67892,,682837,
06-10-2023,freelance income,9379.67,TXN19745,ok,970349,
07-05-2023,Amazon order,11834.56,TXN81267,,381941,
05-06-2023,Salary credited,14165.05,TXN57005,ok,262544,
15-12-2023,,51920.79,TXN33980,ok,334126,Vehicle purchase
27-11-2023,Consulting income,81334.09,TXN56358,ok,599181,
19-03-2023,internetbill,73787.08,TXN76238,ok,791677,
27-10-2023,Electricity bill,95959.2,TXN71698,ok,352552,
26-10-2023,insurance premium,46585.77,TXN31720,ok,922249,
21-08-2023,Rent payment,80484.53,TXN11137,,113906,
24-01-2023,,,TXN66251,,384483,Salarycredited
10-09-2023,,96002.3,TXN66259,ok,330272,Office supplies
05-10-2023,Consulting income,79308.44,TXN65321,ok,705916,
13-08-2023,Electricity bill,527.86,TXN96633,ok,648585,
09-08-2023,vehicle purchase,39317.94,TXN52720,ok,425589,
21-04-2023,,89560.48,TXN68710,ok,777854,Mobile recharge
29-01-2023,loan emi,97978.72,TXN63161,ok,989161,
07-07-2023,,33882.42,TXN90515,ok,584507,Vendor payment
27-04-2023,bonus received,60252.68,TXN89300,ok,573421,
02-03-2023,loan emi,5696.05,TXN13342,ok,657179,
22-06-2023,insurance premium,2680.33,TXN90529,ok,616022,
14-12-2023,Bonusreceived,9582.26,TXN15318,ok,753944,
26-08-2023,office supplies,5213.54,TXN14143,ok,739207,
03-05-2023,vehicle purchase,66553.62,TXN47984,,308441,
23-11-2023,Amazon order,54193.67,TXN48640,,941569,
03-10-2023,,18432.8,TXN58360,ok,333802,bonus received
16-07-2023,amazon order,54072.12,TXN53026,,599522,
07-07-2023,,57902.26,TXN31902,ok,873694,Freelance income
21-06-2023,rent payment,78879.91,TXN71544,ok,731469,
11-07-2023,,51391.22,TXN28923,,339464,Vehicle purchase
27-01-2023,Freelance income,65294.56,TXN89569,ok,580438,
29-08-2023,Amazonorder,46516.53,TXN58648,ok,967082,
06-01-2023,salary credited,69434.75,TXN93235,,955712,
10-03-2023,Netflixsubscription,60250.35,TXN44984,ok,800917,
26-08-2023,Amazon order,95813.4,TXN96736,ok,762324,
19-08-2023,Consulting income,18412.87,TXN46682,ok,358288,
26-04-2023,Electricity bill,2041.8,TXN55742,,612822,
28-01-2023,,22933.5,TXN94882,ok,651439,office supplies
06-01-2023,uberride,12892.96,TXN44837,,774910,
28-10-2023,,60849.41,TXN21189,ok,404834,Electricity bill
02-08-2023,Gym membership,,TXN59935,ok,350437,
05-01-2023,vendorpayment,11945.33,TXN11637,,586631,
28-12-2023,consultingincome,30453.44,TXN80662,,870991,
26-05-2023,bonus received,,TXN20248,ok,617711,
15-03-2023,loan emi,27717.37,TXN98638,ok,867011,
01-10-2023,,35678.24,TXN38270,ok,233726,Vendor payment
25-05-2023,,,TXN28507,ok,809288,Office supplies
29-01-2023,,16184.02,TXN28504,ok,944069,Gym membership
09-07-2023,,59459.95,TXN85304,,415243,Insurance premium
28-10-2023,,72266.76,TXN64265,ok,162028,Electricitybill
20-06-2023,Electricity bill,5302.64,TXN13072,ok,925336,
02-02-2023,,8604.19,TXN55256,ok,785011,Office supplies
04-11-2023,,12425.79,TXN72204,ok,764299,Amazonorder
02-09-2023,Salary credited,93981.34,TXN37179,,801931,
04-10-2023,Mobile recharge,66040.9,TXN14023,ok,292204,
17-04-2023,Rentpayment,88961.36,TXN39216,ok,278318,
04-03-2023,Uberride,29173.55,TXN36649,ok,979183,
10-04-2023,Amazon order,13777.2,TXN83974,ok,574827,
01-09-2023,Vendor payment,45168.35,TXN46759,,168131,
15-12-2023,Mobile recharge,95713.3,TXN68762,,578609,
18-01-2023,Laptop purchase,80049.53,TXN21855,,307738,
05-05-2023,Internet bill,13768.26,TXN44000,,933911,
05-12-2023,Gym membership,29329.48,TXN15850,,718255,
05-12-2023,,19686.39,TXN52183,ok,903193,Internet bill
29-06-2023,,5783.73,TXN87810,ok,774955,Rent payment
03-10-2023,Netflix subscription,73486.7,TXN57205,,447468,
01-03-2023,Freelance income,87101.23,TXN60447,,522584,
30-01-2023,Office supplies,73827.98,TXN20754,ok,700345,
18-11-2023,,27472.28,TXN55415,,671500,Loan EMI
18-03-2023,Vehicle purchase,52248.0,TXN28005,ok,394613,
17-04-2023,Office supplies,17186.97,TXN98336,,295912,
23-10-2023,Vendor payment,87454.34,TXN34637,ok,304327,
06-11-2023,netflixsubscription,41009.17,TXN70876,ok,959745,
24-04-2023,netflix subscription,35065.47,TXN73545,ok,533448,
26-01-2023,Netflix subscription,2097.25,TXN52173,ok,436369,
12-02-2023,Rent payment,32540.79,TXN46793,,255720,
05-08-2023,Freelance income,25377.71,TXN69771,ok,857687,
11-10-2023,Loan EMI,,TXN20841,,896048,
20-11-2023,Office supplies,9858.89,TXN36483,ok,290187,
05-10-2023,Internet bill,17830.36,TXN84480,,289122,
16-07-2023,Internet bill,2158.29,TXN51275,ok,404087,
12-09-2023,Electricity bill,19836.69,TXN94020,,280538,
08-09-2023,Mobile recharge,44842.45,TXN38964,ok,692114,
30-03-2023,,38745.91,TXN78246,ok,340996,Salary credited
29-01-2023,Bonus received,18663.25,TXN30645,ok,189010,
22-06-2023,Netflixsubscription,48125.27,TXN16453,ok,341936,
13-10-2023,Amazon order,35989.02,TXN41534,ok,832846,
04-07-2023,Internet bill,7245.22,TXN17114,ok,827641,
13-06-2023,Client payment received,66234.67,TXN79423,ok,558655,
26-01-2023,,65111.59,TXN54563,,949473,Netflix subscription
15-01-2023,,82376.02,TXN28137,,993096,vendor payment
27-10-2023,Internet bill,40620.16,TXN13469,ok,466255,
22-12-2023,rent payment,45148.74,TXN83376,ok,191718,
24-07-2023,,47845.58,TXN88699,ok,858118,electricity bill
22-06-2023,Bonus received,85753.44,TXN27743,ok,698254,
28-05-2023,Salary credited,66132.29,TXN29118,ok,317171,
29-08-2023,,47547.5,TXN33746,,674335,Loan EMI
23-02-2023,Electricity bill,58094.1,TXN78377,ok,111168,
06-04-2023,Amazon order,,TXN28466,ok,142198,
15-11-2023,Office supplies,27294.85,TXN72512,ok,709143,
12-05-2023,,35812.13,TXN25640,,286862,Salary credited
26-11-2023,Uber ride,86891.63,TXN53635,ok,717754,
12-12-2023,Bonus received,67093.42,TXN84473,ok,612379,
23-09-2023,Internet bill,46225.04,TXN34361,ok,443698,
09-11-2023,Netflix subscription,95065.88,TXN78545,ok,961252,
17-12-2023,,85163.7,TXN62023,ok,138643,Freelanceincome
03-04-2023,Bonusreceived,37331.87,TXN82349,ok,484209,
27-06-2023,Loan EMI,12153.61,TXN54075,,763646,
18-12-2023,,,TXN57957,,959553,Vehicle purchase
02-06-2023,Consulting income,1163.46,TXN43527,,221970,
03-12-2023,Salary credited,1487.36,TXN18518,,438270,
25-03-2023,Gym membership,38025.43,TXN28459,ok,677963,
02-04-2023,,97582.9,TXN35100,,462299,vehicle purchase
20-04-2023,Gym membership,12849.6,TXN27887,ok,190897,
24-05-2023,Vendor payment,15938.76,TXN51968,,547933,
28-03-2023,Amazon order,42851.55,TXN32436,ok,516935,
23-01-2023,Freelance income,56359.36,TXN15544,,918498,
25-01-2023,Netflix subscription,,TXN89837,ok,917420,
24-12-2023,,33029.97,TXN47086,ok,952743,LoanEMI
27-11-2023,Consulting income,28223.87,TXN58481,ok,772019,
05-04-2023,,28016.57,TXN46319,,521639,Consulting income
01-06-2023,uber ride,44571.96,TXN64416,ok,240214,
16-02-2023,,17662.18,TXN18966,ok,470098,Internet bill
04-03-2023,Insurancepremium,18261.59,TXN85547,ok,731234,
01-01-2023,insurance premium,89026.34,TXN15286,,330702,
09-04-2023,,42720.52,TXN76991,ok,105327,Consultingincome
11-08-2023,Internet bill,,TXN24178,,984588,
09-10-2023,Client payment received,75175.64,TXN33618,ok,339784,
26-11-2023,Gym membership,60996.52,TXN34591,ok,100450,
27-07-2023,Freelance income,54531.96,TXN57338,ok,964842,
20-01-2023,,13818.1,TXN24610,,601530,loan emi
02-01-2023,Office supplies,89139.17,TXN76811,,400753,
28-04-2023,,12636.68,TXN58506,,326246,Bonus received
07-02-2023,Office supplies,,TXN89007,ok,148831,
04-10-2023,,85873.64,TXN70377,,608323,Electricity bill
22-07-2023,Gymmembership,51555.61,TXN77602,ok,822553,
11-11-2023,Vendor payment,99612.14,TXN93122,ok,497983,
19-03-2023,,71686.98,TXN34456,,437128,office supplies
11-09-2023,,46129.6,TXN13118,,394640,Gym membership
15-09-2023,Rent payment,77294.15,TXN86859,ok,582871,
15-06-2023,mobile recharge,14853.7,TXN38919,,634300,
26-02-2023,,72196.4,TXN60803,,221124,Gym membership
23-09-2023,Loan EMI,57096.34,TXN93881,,723361,
28-01-2023,vendor payment,45012.16,TXN12885,ok,551623,
18-03-2023,Mobile recharge,2241.5,TXN20856,,145537,
13-07-2023,Electricity bill,69720.67,TXN17836,ok,905818,
21-06-2023,Vehicle purchase,15794.89,TXN50406,ok,594348,
08-09-2023,Loan EMI,45043.33,TXN59515,ok,434551,
25-09-2023,Salary credited,,TXN64286,ok,165884,
17-01-2023,,10785.04,TXN90913,ok,599137,Gym membership
22-01-2023,Loan EMI,22636.99,TXN32904,,339061,
31-01-2023,client payment received,51728.79,TXN44655,,992081,
10-07-2023,Bonus received,34677.59,TXN96491,ok,900918,
21-11-2023,,46332.81,TXN63329,ok,451200,Office supplies
18-05-2023,Vendor payment,21351.61,TXN69680,ok,320427,
29-06-2023,Mobile recharge,85599.4,TXN71158,ok,402026,
21-02-2023,Rent payment,5284.21,TXN89307,ok,818667,
01-11-2023,Rent payment,23406.36,TXN90328,,298704,
17-12-2023,Salary credited,2410.58,TXN72480,,415229,
02-03-2023,Rent payment,25490.56,TXN88683,,656669,
03-12-2023,Laptop purchase,68721.41,TXN93645,ok,917130,
22-02-2023,consulting income,37733.26,TXN87139,,458499,
31-08-2023,Vendor payment,70827.76,TXN65086,,661282,
18-01-2023,,2630.54,TXN52225,ok,117294,vehicle purchase
16-03-2023,Consulting income,72731.1,TXN53199,ok,788085,
25-03-2023,,21803.13,TXN91789,ok,182484,netflixsubscription
08-11-2023,,,TXN33452,ok,819604,Freelance income
04-04-2023,electricity bill,63612.68,TXN47519,ok,847221,
10-01-2023,Loan EMI,92604.28,TXN94931,,457232,
13-06-2023,,31312.6,TXN32170,ok,190745,mobilerecharge
09-08-2023,Netflix subscription,5686.59,TXN58616,ok,727588,
26-07-2023,,10394.95,TXN40936,ok,260944,Loan EMI
04-10-2023,Consulting income,36303.63,TXN22401,ok,102675,
29-12-2023,Salary credited,9180.34,TXN57612,,410622,
01-04-2023,,30617.61,TXN29268,,223127,Mobile recharge
04-10-2023,,84629.68,TXN96132,,289474,Insurance premium
18-03-2023,Insurancepremium,84522.09,TXN67912,ok,375899,
22-08-2023,Laptop purchase,88752.67,TXN39056,ok,275872,
04-08-2023,Gym membership,79190.83,TXN53102,ok,124614,
06-12-2023,Salary credited,6192.66,TXN60357,,826845,
21-07-2023,Laptoppurchase,,TXN11825,ok,991951,
13-10-2023,Mobile recharge,89868.71,TXN42434,,624374,
26-07-2023,Loan EMI,62873.17,TXN41286,ok,791433,
06-05-2023,Vehicle purchase,92565.24,TXN98955,ok,778802,
14-07-2023,,78643.89,TXN43487,ok,524113,Gym membership
05-09-2023,,61595.81,TXN38207,ok,155703,Internet bill
30-12-2023,Vehicle purchase,69711.14,TXN16807,ok,127520,
19-06-2023,Uber ride,13437.17,TXN21276,ok,632911,
23-02-2023,Vendor payment,10980.38,TXN82462,ok,661457,
12-01-2023,Mobile recharge,10352.7,TXN68387,,621173,
02-03-2023,laptop purchase,56830.33,TXN91215,,292296,
11-04-2023,,22213.41,TXN85050,ok,142850,Client payment received
28-12-2023,Bonus received,22490.56,TXN34177,,641414,
07-08-2023,insurance premium,52423.68,TXN95609,,513475,
01-02-2023,Uberride,91595.73,TXN80508,ok,684514,
04-10-2023,Mobile recharge,26673.31,TXN56277,,528427,
25-03-2023,Loan EMI,27622.69,TXN26555,,760015,
13-03-2023,,75811.99,TXN82188,,200323,Bonus received
30-03-2023,salary credited,66905.56,TXN67851,ok,209585,
11-02-2023,mobile recharge,39208.4,TXN48592,,586742,
17-10-2023,Freelance income,87280.8,TXN92644,,998157,
14-12-2023,,84186.97,TXN88729,ok,919710,Electricity bill
16-11-2023,Client payment received,23978.12,TXN70175,ok,301899,
27-12-2023,Internetbill,98495.65,TXN62745,,565818,
17-08-2023,Amazon order,50926.02,TXN35854,ok,398482,
22-01-2023,,16048.84,TXN54523,,956817,Salary credited
27-04-2023,,47142.39,TXN12692,ok,469645,gym membership
18-11-2023,Vendor payment,88617.7,TXN87580,,855411,
25-07-2023,Netflix subscription,32123.84,TXN77735,ok,424196,
12-06-2023,Gymmembership,25581.16,TXN10645,,426304,
14-04-2023,Loan EMI,99113.68,TXN84944,ok,862955,
17-01-2023,freelance income,2361.74,TXN78055,,283831,
13-06-2023,Loan EMI,39823.2,TXN69782,ok,771002,
26-08-2023,,48783.63,TXN23966,,604801,Office supplies
08-01-2023,Bonus received,76948.61,TXN53580,ok,130474,
26-09-2023,Laptop purchase,,TXN45969,ok,534437,
08-06-2023,Consulting income,60256.05,TXN39566,ok,347421,
05-12-2023,Gym membership,88920.93,TXN89697,ok,488498,
11-04-2023,,82074.57,TXN12226,ok,742785,Uber ride
05-07-2023,Gym membership,,TXN91751,ok,814187,
30-08-2023,Laptoppurchase,17238.02,TXN41983,ok,883098,
25-03-2023,Freelance income,66602.45,TXN56179,,737125,
29-03-2023,,46908.03,TXN75501,,313638,Mobile recharge
01-05-2023,,93568.71,TXN50778,,931791,gym membership
30-06-2023,Freelance income,18887.93,TXN50386,ok,911310,
26-02-2023,,53932.35,TXN29613,,760191,vehicle purchase
28-02-2023,,74413.42,TXN73435,,372594,Gym membership
26-05-2023,Amazon order,13777.52,TXN77809,ok,302890,
08-10-2023,,94356.75,TXN97457,ok,468105,Uber ride
08-04-2023,Amazon order,44480.33,TXN90074,,737995,
19-11-2023,,61579.32,TXN97723,ok,634083,Uber ride
28-04-2023,Insurance premium,51035.63,TXN80366,ok,868449,
20-08-2023,Rent payment,19229.98,TXN69901,,177691,
29-10-2023,Gym membership,95304.9,TXN35662,,888877,
04-03-2023,,88780.76,TXN89483,ok,135934,Freelance income
04-06-2023,Mobile recharge,42528.29,TXN97583,,361733,
22-01-2023,Vehicle purchase,98269.77,TXN58844,,501421,
06-09-2023,mobile recharge,38842.41,TXN83560,,459581,
25-03-2023,bonus received,40665.9,TXN60970,ok,422201,
25-09-2023,,,TXN51409,ok,905423,laptop purchase
14-08-2023,,12394.58,TXN92712,ok,589742,Rent payment
17-12-2023,Amazon order,58223.7,TXN46887,ok,293234,
16-11-2023,bonus received,65885.3,TXN14761,ok,243079,
16-09-2023,,30615.5,TXN77528,ok,472008,Vendorpayment
08-10-2023,gym membership,21897.86,TXN53506,ok,830566,
01-08-2023,,21245.06,TXN59155,ok,714303,Uber ride
03-06-2023,Electricity bill,95679.16,TXN91202,,912096,
04-07-2023,Internet bill,50153.53,TXN93874,,918267,
24-05-2023,,53462.38,TXN63593,ok,621560,Amazon order
19-08-2023,,33266.57,TXN37482,,612205,Salary credited
30-06-2023,,17274.89,TXN91609,ok,478229,Loan EMI
14-06-2023,Rent payment,22847.73,TXN18033,ok,497179,
13-12-2023,,61824.94,TXN23513,ok,324690,Mobile recharge
13-03-2023,,3122.85,TXN95221,,451159,Laptop purchase
24-03-2023,,29558.47,TXN96272,,969620,Client payment received
19-07-2023,Consulting income,819.86,TXN75105,ok,365900,
30-12-2023,Mobile recharge,61201.87,TXN27274,ok,677484,
29-01-2023,,16659.16,TXN25430,ok,740030,Electricity bill
05-03-2023,,62964.14,TXN16016,ok,419369,Rent payment
30-10-2023,,,TXN70739,,292249,Loan EMI
15-06-2023,,30969.84,TXN20831,ok,128765,Office supplies
04-04-2023,,46105.2,TXN52966,ok,658859,Freelance income
16-02-2023,Consulting income,25559.25,TXN91118,ok,316279,
23-06-2023,,58674.37,TXN97007,ok,558208,mobile recharge
13-05-2023,Gym membership,39535.0,TXN25584,,860909,
01-01-2023,Internet bill,41530.86,TXN40369,ok,363885,
17-04-2023,Uber ride,41669.14,TXN34807,ok,993612,
09-02-2023,,56377.22,TXN35861,ok,958220,consulting income
02-05-2023,Netflix subscription,55890.75,TXN19029,ok,307338,
15-01-2023,electricity bill,79379.96,TXN67559,ok,720141,
02-09-2023,Rent payment,44211.74,TXN24944,ok,186546,
06-02-2023,,83783.14,TXN34574,ok,798558,vehicle purchase
17-01-2023,,1544.36,TXN98504,ok,512593,Office supplies
06-02-2023,Internet bill,80418.53,TXN49304,ok,439991,
03-03-2023,Electricity bill,19559.32,TXN65696,,541644,
13-07-2023,,83776.7,TXN19988,,359462,laptop purchase
16-08-2023,Bonus received,47038.83,TXN67370,ok,920402,
03-09-2023,,93332.61,TXN34659,ok,549551,electricity bill
07-10-2023,Loan EMI,85105.36,TXN45092,,124772,
12-08-2023,Rent payment,65026.23,TXN86780,ok,627816,
28-02-2023,Internet bill,72474.01,TXN70136,ok,680033,
01-10-2023,Mobilerecharge,15912.0,TXN99696,ok,803531,
09-04-2023,,56211.28,TXN21556,ok,351272,Uber ride
16-07-2023,,25790.29,TXN55234,ok,450037,Netflix subscription
28-08-2023,Bonus received,63913.88,TXN35581,,870057,
22-10-2023,Netflix subscription,9388.06,TXN24203,ok,610735,
18-09-2023,,10570.8,TXN76418,,652688,Netflix subscription
